tl,u/t,r,pick_ratio,A_f
30%,70%,500,0.7," 0.22766275213747336
"
30%,70%,1000,0.1," 0.23451533474346023
"
30%,70%,1000,0.3," 0.23797525131948202
"
30%,70%,1000,0.5," 0.2422532779876583
"
30%,70%,1000,0.7," 0.24798666516297238
"
30%,70%,1500,0.1," 0.2562119992048144
"
30%,70%,1500,0.3," 0.2598709983104852
"
30%,70%,1500,0.5," 0.2643946821393085
"
30%,70%,1500,0.7," 0.27045611221615423
"
30%,90%,500,0.1," 1.5815280849403817
"
30%,90%,500,0.3," 1.5984126952427713
"
30%,90%,500,0.5," 1.6193302666162268
"
30%,90%,500,0.7," 1.6474029443969747
"
30%,90%,1000,0.1," 1.8475382465165426
"
30%,90%,1000,0.3," 1.8674984733610045
"
30%,90%,1000,0.5," 1.8922400046183492
"
30%,90%,1000,0.7," 1.9254651329118646
"
30%,90%,1500,0.1," 2.202733958176311
"
30%,90%,1500,0.3," 2.227008015298707
"
30%,90%,1500,0.5," 2.2571178603394753
"
30%,90%,1500,0.7," 2.2975839859279845
"
50%,10%,500,0.1," 0.0
"
50%,10%,500,0.3," 0.0
"
50%,10%,500,0.5," 2.3795615350457372e-299
"
50%,10%,500,0.7," 1.9023950406435014e-181
"
50%,10%,1000,0.1," 0.0
"
50%,10%,1000,0.3," 0.0
"
50%,10%,1000,0.5," 6.385508974672624e-294
"
50%,10%,1000,0.7," 3.4396947847987066e-178
"
50%,10%,1500,0.1," 0.0
"
50%,10%,1500,0.3," 0.0
"
50%,10%,1500,0.5," 1.7135353736317373e-288
"
50%,10%,1500,0.7," 6.219257266195283e-175
"
50%,30%,500,0.1," 8.748963956613855e-32
"
50%,30%,500,0.3," 6.412485917806674e-26
"
50%,30%,500,0.5," 8.449786338206521e-20
"
50%,30%,500,0.7," 1.325173861638463e-13
"
50%,30%,1000,0.1," 1.761121161630461e-29
"
50%,30%,1000,0.3," 4.024213598318793e-24
"
50%,30%,1000,0.5," 1.6519979907797926e-18
"
50%,30%,1000,0.7," 8.071413485817611e-13
"
50%,30%,1500,0.1," 3.0028261740239053e-27
"
50%,30%,1500,0.3," 2.222829289619124e-22
"
50%,30%,1500,0.5," 2.952618698578904e-17
"
50%,30%,1500,0.7," 4.667928616479261e-12
"
50%,50%,500,0.1," 0.04800547250443528
"
50%,50%,500,0.3," 0.04952555681722742
"
50%,50%,500,0.5," 0.05141672711224666
"
50%,50%,500,0.7," 0.05397389911417482
"
50%,50%,1000,0.1," 0.053246485255259574
"
50%,50%,1000,0.3," 0.05483791386728463
"
50%,50%,1000,0.5," 0.05681632507371726
"
50%,50%,1000,0.7," 0.0594887049283418
"
50%,50%,1500,0.1," 0.05893175664657748
"
50%,50%,1500,0.3," 0.0605973810128735
"
50%,50%,1500,0.5," 0.0626666250832809
"
50%,50%,1500,0.7," 0.06545941587984248
"
50%,70%,500,0.1," 0.4052347108029582
"
50%,70%,500,0.3," 0.41024080856025097
"
50%,70%,500,0.5," 0.41642838223308015
"
50%,70%,500,0.7," 0.42471452261793635
"
50%,70%,1000,0.1," 0.4355121003744383
"
50%,70%,1000,0.3," 0.4407918615338998
"
50%,70%,1000,0.5," 0.4473177412375405
"
50%,70%,1000,0.7," 0.45605666407820783
"
50%,70%,1500,0.1," 0.46866822645776296
"
50%,70%,1500,0.3," 0.47424861841663724
"
50%,70%,1500,0.5," 0.4811462336804227
"
50%,70%,1500,0.7," 0.49038282831343943
"
50%,90%,500,0.1," 2.3003222492056565
"
50%,90%,500,0.3," 2.3258145639220005
"
50%,90%,500,0.5," 2.3574413687564517
"
50%,90%,500,0.7," 2.3999562041718887
"
50%,90%,1000,0.1," 2.6510563495398696
"
50%,90%,1000,0.3," 2.681083239679966
"
50%,90%,1000,0.5," 2.718359747563855
"
50%,90%,1000,0.7," 2.7685060288524186
"
50%,90%,1500,0.1," 3.115035445877057
"
50%,90%,1500,0.3," 3.1513673568774903
"
50%,90%,1500,0.5," 3.196506965272123
"
50%,90%,1500,0.7," 3.2572865699670746
"
